SampleID	Sample1	Location	Treatment	Timing	Treated	depth_below_plot_cm	depth_below_ground_cm	Replicate	C	N	Clay	Silt	Sand	Notes	NO3	NO2	DOC	CaCO3	Ca	Cl	K	Mg	Mn	Na	pH	EC	Dissolved_solids	SO4	Fe	As	Pb	Cd	Cr	Zn
160705-KTR-RW-BEFORE-DNA-030	160705-KTR-RW-BEFORE-DNA-030	KTR	WC	Before	FALSE	30	130	1	0.71	0.06	14.91	35.34	49.75																					
160705-KTR-RW-BEFORE-DNA-040	160705-KTR-RW-BEFORE-DNA-040	KTR	WC	Before	FALSE	40	140	1	0.79	0.07	18.02	38.06	43.92																					
160705-KTR-RW-BEFORE-DNA-060	160705-KTR-RW-BEFORE-DNA-060	KTR	WC	Before	FALSE	60	160	1	0.69	0.06	16.39	36.91	46.7																					
160705-KTR-RW-BEFORE-DNA-080	160705-KTR-RW-BEFORE-DNA-080	KTR	WC	Before	FALSE	80	180	1	0.58	0.05	15.65	30.57	53.78																					
160705-KTR-RW-BEFORE-DNA-090	160705-KTR-RW-BEFORE-DNA-090	KTR	WC	Before	FALSE	90	190	1	0.59	0.06	12.56	28.31	59.14	used 100cm depth																				
160726-KTR-NS-AFTER-DNA-010	160726-KTR-NS-AFTER-DNA-010	KTR	NS	After	FALSE	10	110	1	0.66	0.07	17.69	37.57	44.74	"used before clay,silt,sa0"	21.3	0	1.8	492	150	90	2.4	154	162	68	7.5	1806	1280	267	47	5	0	0	20	0
160726-KTR-NS-AFTER-DNA-010-1	160726-KTR-NS-AFTER-DNA-010	KTR	NS	After	FALSE	10	110	2	0.66	0.07	17.69	37.57	44.74	"used before clay,silt,sand"	21.3	0	1.8	492	150	90	2.4	154	162	68	7.5	1806	1280	267	47	5	0	0	20	0
160726-KTR-NS-AFTER-DNA-010-2	160726-KTR-NS-AFTER-DNA-010	KTR	NS	After	FALSE	10	110	3	0.66	0.07	17.69	37.57	44.74	"used before clay,silt,sand"	21.3	0	1.8	492	150	90	2.4	154	162	68	7.5	1806	1280	267	47	5	0	0	20	0
160726-KTR-NS-AFTER-DNA-030	160726-KTR-NS-AFTER-DNA-030	KTR	NS	After	FALSE	30	130	1	0.6	0.06	18.85	37.38	43.78	"used before clay,silt,sand"	21.6	0	2.4	438	171	86	6.7	124	428	69	7.3	1721	1214	349	1168	6	0	0	7	0
160726-KTR-NS-AFTER-DNA-030-1	160726-KTR-NS-AFTER-DNA-030	KTR	NS	After	FALSE	30	130	2	0.6	0.06	18.85	37.38	43.78	"used before clay,silt,sand"	21.6	0	2.4	438	171	86	6.7	124	428	69	7.3	1721	1214	349	1168	6	0	0	7	0
160726-KTR-NS-AFTER-DNA-030-2	160726-KTR-NS-AFTER-DNA-030	KTR	NS	After	FALSE	30	130	3	0.6	0.06	18.85	37.38	43.78	"used before clay,silt,sand"	21.6	0	2.4	438	171	86	6.7	124	428	69	7.3	1721	1214	349	1168	6	0	0	7	0
160726-KTR-NS-AFTER-DNA-040	160726-KTR-NS-AFTER-DNA-040	KTR	NS	After	FALSE	40	140	1	0.66	0.06	18.85	37.38	43.78	"used before 30 cmclay,silt,sand"																				
160726-KTR-NS-AFTER-DNA-060	160726-KTR-NS-AFTER-DNA-060	KTR	NS	After	FALSE	60	160	1	0.81	0.08	17.62	35.07	47.32	"used before clay,silt,sand"	21.4	0	2.4	443	167	86	6.3	123	141	70	7.3	1739	1254	354	568	6	0	0	4	0
160726-KTR-NS-AFTER-DNA-080	160726-KTR-NS-AFTER-DNA-080	KTR	NS	After	FALSE	80	180	1	0.65	0.06	11.31	25.73	62.96	"used before clay,silt,sand"																				
160726-KTR-NS-AFTER-DNA-090	160726-KTR-NS-AFTER-DNA-090	KTR	NS	After	FALSE	90	190	1	0.32	0.04	13.96	27.98	58.07	"used 100cm depth C,N, and before clay,silt,sand "																				
160809-KTR-BC-AFTER-DNA-010	160809-KTR-BC-AFTER-DNA-010	KTR	BC	After	TRUE	10	110	1	0.73	0.05	23.97	46.19	29.84	"used before clay,silt,sand"	6.4	0	18.8	570	134	93	5.9	158	323	64	7.3	1855	1320	398	32	5	0	0	0	0
160809-KTR-BC-AFTER-DNA-010-1	160809-KTR-BC-AFTER-DNA-010	KTR	BC	After	TRUE	10	110	2	0.73	0.05	23.97	46.19	29.84	"used before clay,silt,sa0"	6.4	0	18.8	570	134	93	5.9	158	323	64	7.3	1855	1320	398	32	5	0	0	0	0
160809-KTR-BC-AFTER-DNA-010-2	160809-KTR-BC-AFTER-DNA-010	KTR	BC	After	TRUE	10	110	3	0.73	0.05	23.97	46.19	29.84	"used before clay,silt,sand"	6.4	0	18.8	570	134	93	5.9	158	323	64	7.3	1855	1320	398	32	5	0	0	0	0
160809-KTR-BC-AFTER-DNA-030	160809-KTR-BC-AFTER-DNA-030	KTR	BC	After	TRUE	30	130	1	0.65	0.06	18.4	37.37	44.23	"used before clay,silt,sand"																				
160809-KTR-BC-AFTER-DNA-030-1	160809-KTR-BC-AFTER-DNA-030	KTR	BC	After	TRUE	30	130	2	0.65	0.06	18.4	37.37	44.23	"used before clay,silt,sand"																				
160809-KTR-BC-AFTER-DNA-030-2	160809-KTR-BC-AFTER-DNA-030	KTR	BC	After	TRUE	30	130	3	0.65	0.06	18.4	37.37	44.23	"used before clay,silt,sand"																				
160809-KTR-BC-AFTER-DNA-040	160809-KTR-BC-AFTER-DNA-040	KTR	BC	After	TRUE	40	140	1	0.66	0.06	21.07	40.43	38.5	"used before clay,silt,sand"																				
160809-KTR-BC-AFTER-DNA-060	160809-KTR-BC-AFTER-DNA-060	KTR	BC	After	TRUE	60	160	1	0.65	0.06	17.13	37.29	45.57	"used before clay,silt,sand"																				
160809-KTR-BC-AFTER-DNA-080	160809-KTR-BC-AFTER-DNA-080	KTR	BC	After	TRUE	80	180	1	0.81	0.07	22.42	45.36	32.21	"used before clay,silt,sand"																				
160809-KTR-BC-AFTER-DNA-090	160809-KTR-BC-AFTER-DNA-090	KTR	BC	After	TRUE	90	190	1	0.54	0.05	18.52	41.11	40.37	"used 100cm depth C,N, and before clay,silt,sand "																				
160825-KTR-RW-AFTER-DNA-010	160825-KTR-RW-AFTER-DNA-010	KTR	WC	After	TRUE	10	110	1	0.67	0.07	15.78	34.4	49.81	"used before clay,silt,sand"	26.2	0	2.8	518	134	93	2.3	154	152	58	7.5	1884	1330	369	0	5	0	0	18	12
160825-KTR-RW-AFTER-DNA-010-1	160825-KTR-RW-AFTER-DNA-010	KTR	WC	After	TRUE	10	110	2	0.67	0.07	15.78	34.4	49.81	"used before clay,silt,sand"	26.2	0	2.8	518	134	93	2.3	154	152	58	7.5	1884	1330	369	0	5	0	0	18	12
